max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
200.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
201.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
202.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
203.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
204.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
205.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
206.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
207.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
208.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
209.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
210.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
211.00,10125,21325,0.47479484173505276,10360,21325,0.48581477139507623
212.00,10125,21326,0.4747725780737128,10360,21326,0.4857919909969052
213.00,10125,21327,0.474750316500211,10361,21327,0.48581610165517886
214.00,10125,21327,0.474750316500211,10361,21327,0.48581610165517886
215.00,10125,21327,0.474750316500211,10361,21327,0.48581610165517886
216.00,10125,21327,0.474750316500211,10361,21327,0.48581610165517886
217.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
218.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
219.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
220.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
221.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
