accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8459808,0.10931412607732809,0.16632170236984883,0.18170453206995957,0.32567557641671097,7.0,1.1523121387283237,Franchise,4025.0,B,D,1,1,0,0,1,0,0,0
8459825,0.27562425917001604,0.42140983823903566,0.31603286797389496,0.6822284792780323,,1.0743620178041544,Independent,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8459861,0.12912650922644223,0.19539827936037457,0.20013962307403513,0.3662711027760995,,1.121508875739645,Franchise,7083.33,B,Decline,1,0,0,1,0,0,1,0
8459890,0.4228138670027312,0.7052833160668379,0.29661912639463994,0.6071487948638116,,1.450959595959596,Franchise,4091.0,Decline,Decline,0,0,1,1,0,1,0,0
8459904,0.535709912544038,0.824634647658936,0.210387615305536,0.38785339152010995,,0.98171875,Independent,5000.0,Decline,Decline,0,0,1,1,0,1,0,0
8459909,0.15942503023121257,0.2678129476995137,0.1654651511799518,0.28890862289008523,7.0,1.2589199255121042,Franchise,6794.71,C,C,1,1,0,0,1,0,0,0
8459910,0.02697244613918154,0.043469877022333916,0.10721577261755347,0.1516835139141349,13.0,1.4313025295109614,Franchise,8166.67,A1,B,1,1,0,0,1,0,0,0
8459919,0.1488158558204815,0.21239592120966463,0.18027657889602353,0.32154397345754726,,1.101094890510949,Franchise,4085.0,B,C,1,1,0,0,1,0,0,0
8459948,0.34255976182216563,0.49814945170462893,0.2556365497066372,0.5053648926264338,,0.887221238938053,Franchise,4519.0,Decline,Decline,0,0,1,1,0,1,0,0
8459949,0.17012586068928734,0.25649019744759777,0.1165022660142201,0.17623677382040162,,1.1292070484581498,Franchise,4300.0,B,B,1,1,0,0,1,0,0,0
8459951,0.24524071356054114,0.35424020693546804,0.262275979342797,0.5187799526563764,,1.0571481481481482,Franchise,4446.0,Decline,Decline,0,0,1,1,0,1,0,0
8459974,0.15830397100383317,0.24187398436899044,0.10285268481507796,0.14369751917967313,,0.9423776223776223,Independent,4975.0,B,B,1,1,0,0,1,0,0,0
8460032,0.38106211075180924,0.6351137870010224,0.18593360594437286,0.33391445826933397,,1.1968169761273209,Franchise,4000.0,Decline,D,0,1,1,0,0,0,0,1
8460088,0.5145975878449257,0.8025899629401285,0.22549664278354833,0.4294106580403115,,,Independent,3500.0,Decline,Decline,0,0,1,1,0,1,0,0
8460091,0.41537245817738877,0.7509475206943783,0.3281210275863587,0.7217923025743692,7.0,1.1884057971014492,Independent,4400.0,Decline,Decline,0,0,1,1,0,1,0,0
8460125,0.1394155374891068,0.21311908159818824,0.11883058512287965,0.1835445361943418,,1.3441112322791713,Franchise,5150.0,B,B,1,1,0,0,1,0,0,0
8460137,0.3012643622755252,0.46011099650158177,0.2996472891293023,0.617511939459492,,1.1032236842105263,Franchise,3500.0,Decline,Decline,0,0,1,1,0,1,0,0
8460155,0.27303524675306484,0.4216462520275374,0.3091055611283164,0.6617990257325936,,0.7716482460355598,Franchise,5163.0,Decline,Decline,0,0,1,1,0,1,0,0
8460159,0.2972191697256131,0.4274679357642192,0.11779135442079594,0.18042863670271925,,0.9890799367785813,Franchise,3667.0,Decline,B,0,1,1,0,0,0,0,1
8460179,0.25978282691952237,0.4052211822073935,0.2768118563349662,0.5647232081639445,,1.3103219871205152,Franchise,6976.0,Decline,Decline,0,0,1,1,0,1,0,0
8460199,0.273350187022413,0.4225130637194858,0.2532336231092994,0.4991971666751214,7.0,,Franchise,3551.0,Decline,Decline,0,0,1,1,0,1,0,0
8460206,0.3745687533676577,0.5026120343949981,0.135154380419152,0.21978314528462903,,1.316535433070866,Independent,6400.0,Decline,B,0,1,1,0,0,0,0,1
8460231,0.2727411970889755,0.4334559601683387,0.26747622951998196,0.5333745791773516,,1.4283056478405316,Franchise,9199.0,Decline,Decline,0,0,1,1,0,1,0,0
8460240,0.30545783389820935,0.49308623918650824,0.20934918302532213,0.38474003798911355,,1.04816091954023,Franchise,3551.0,Decline,Decline,0,0,1,1,0,1,0,0
8460241,0.39627806265322274,0.6473076776801985,0.37767783819521844,0.8115591456830353,,0.9824080267558528,Independent,4381.0,Decline,Decline,0,0,1,1,0,1,0,0
8460252,0.430513042389244,0.698505786533834,0.15823938853665523,0.2664551925956745,,1.3165927654609102,Franchise,5200.0,Decline,C,0,1,1,0,0,0,0,1
8460265,0.4276022122476434,0.6520744189739269,0.19466473262152137,0.35641981160161257,,1.1500224719101124,Independent,4997.0,Decline,Decline,0,0,1,1,0,1,0,0
8460266,0.3562977699350787,0.5665377662058627,0.36822856722046216,0.7846526210957327,,1.1175658399386346,Franchise,6000.0,Decline,Decline,0,0,1,1,0,1,0,0
8460270,0.11192812937882758,0.17509665884599745,0.14616335034899236,0.2428099208397448,13.0,0.9749303621169917,Franchise,7605.67,B,B,1,1,0,0,1,0,0,0
8460275,0.26584217212879185,0.3455630278709911,0.16266246170624027,0.28070911678973076,,0.9617495029821074,Independent,11310.0,D,C,1,1,0,0,1,0,0,0
